linha	coluna	cult	prod
1	1	Canastra	55
2	1	Bonanca	52
3	1	CNAs8989	21
4	1	CNAs8957	30
5	1	CNA8540	77
6	1	CNAs8818	38
1	2	CNA8540	33
2	2	CNAs8818	19
3	2	Bonanca	55
4	2	Canastra	40
5	2	CNAs8957	21
6	2	CNAs8989	44
1	3	Bonanca	77
2	3	CNAs8957	37
3	3	CNA8540	49
4	3	CNAs8989	21
5	3	CNAs8818	75
6	3	Canastra	70
1	4	CNAs8818	20
2	4	Canastra	64
3	4	CNAs8957	53
4	4	Bonanca	55
5	4	CNAs8989	12
6	4	CNA8540	30
1	5	CNAs8989	64
2	5	CNA8540	44
3	5	Canastra	48
4	5	CNAs8818	34
5	5	Bonanca	62
6	5	CNAs8957	63
1	6	CNAs8957	52
2	6	CNAs8989	39
3	6	CNAs8818	25
4	6	CNA8540	50
5	6	Canastra	71
6	6	Bonanca	17
