id	x
1	998.8
2	994.9
3	1001
4	1005.1
5	1004.8
6	1006.9
7	991.3
8	999.1
9	1004.4
10	995.7
11	997.2
12	993.2
13	992.6
14	996.1
15	996.9
16	991.5
17	997.7
18	998.4
19	1000.5
20	998.5
21	998.7
22	998.5
23	1005.4
24	999.7
25	999.3
26	997.9
27	1007.9
28	1003.5
29	1009.5
30	997.4
31	1006.6
32	993.6
33	1002.2
34	1003.6
35	1007.7
36	999.7
37	997.9
38	1002.7
39	998.5
40	1003
41	994.2
42	996.6
43	993.9
44	998.5
45	999.9
46	1000.1
47	998.7
48	1008.8
49	993
50	997.1
51	989.7
52	1005.8
53	994.9
54	997.4
55	1003
56	1001.9
57	1003.5
58	1002.4
59	994.5
60	995.5
61	1002.8
62	1001.3
63	996.2
64	999
65	1000.5
66	1002.2
67	1000.6
68	996.4
69	1007.5
70	1001.9
71	1000.3
72	1003.3
73	1003.4
74	997.5
75	996.3
76	1004.4
77	995.2
78	993.8
79	1002.8
80	1002.6
81	1008.8
82	1005.8
83	1005.2
84	1000.5
85	1000
86	1001.8
87	999.9
88	995.8
89	992.9
90	1003.3
91	1001.8
92	1002.5
93	1000.9
94	995.9
95	1005
96	998.8
97	996.6
98	996.7
99	998.3
100	998.2
