id	x
1	1010.2
2	1002.3
3	1003.8
4	1000.2
5	1008.8
6	992.1
7	1008.9
8	999.4
9	1011.3
10	1014
11	1010.5
12	995
13	994
14	1011.2
15	1008.1
16	1008.3
17	1017.6
18	1005.3
19	1003.8
20	1019.6
21	995
22	1010.2
23	999.9
24	1009.5
25	1017.9
26	1012.9
27	1008.5
28	1003.1
29	1010.5
30	1009.5
31	994.1
32	991.2
33	1001.6
34	1002.1
35	1010.5
36	1009
37	992.3
38	1002.3
39	1012.7
40	1006.9
41	994.8
42	989.1
43	1002.5
44	1008.7
45	1014.6
46	1004.9
47	1002.2
48	1007.3
49	1002.4
50	1011.7
51	980.2
52	999.4
53	1002
54	1011.9
55	997.8
56	997.5
57	986.6
58	1014.4
59	1024
60	1006.9
61	992
62	1004.4
63	1005.3
64	1003.2
65	1016.5
66	1015.3
67	1003.3
68	992.6
69	1013.1
70	1016.1
71	997.2
72	994.5
73	1006.9
74	1012.8
75	1014.5
76	1021.7
77	1007.2
78	996.1
79	1008.8
80	1000.2
81	1004.5
82	998.7
83	1002.4
84	1012.9
85	1011.1
86	1007.8
87	994.2
88	1012
89	1017.8
90	1018.4
91	988.2
92	991.1
93	1004.3
94	1010.6
95	1009.9
96	1011.3
97	989.9
98	1002.9
99	997.5
100	1002
